Materials-1,Materials-2,Electrolyte,Voltage window (V),Specific surface area (m2/g),Pore volume (cm3/g),Pore size (nm),Micropore volume (cm3/g),SSA of micropores (m2/g),Id/Ig,N (at. %),O (at. %),B (at. %),S (at. %),F (at. %),P (at. %),Capacitance (F/g),is_composite,has_material_note,mat1_enc,mat2_enc,elec_enc
AC,cnt,h2so4,1.0,3160.0,1.58,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.0,1,0,3,2,9
AC,none,h2so4,1.0,3110.0,1.68,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,0,0,3,5,9
AC,none,h2so4,1.0,2930.0,1.7,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,305.0,0,0,3,5,9
AC,none,et4NBF4,2.5,830.0,0.32,0.8,0.0,820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0,0,3,5,8
porous carbon,none,teabf4,4.0,2025.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0,0,36,5,23
porous carbon,none,teabf4,4.0,1924.0,1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0,0,36,5,23
porous carbon,none,teabf4,4.0,1405.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,0,0,36,5,23
CNT,carbon,koh,0.6,1080.0,0.0,0.7,0.0,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,125.0,1,0,9,1,14
CNT,none,koh,0.6,1429.0,0.0,1.6,0.0,0.0,1.075,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0,0,9,5,14
porous carbon,none,hclo4,0.7,0.0,0.0,6.0,0.0,0.0,0.0,6.71,12.06,0.0,0.0,0.0,0.0,200.0,0,0,36,5,13
porous carbon,graphene,koh,1.0,545.8,0.56,4.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,0.0,242.0,1,0,36,4,14
porous carbon,graphene,koh,1.0,582.3,0.59,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190.0,1,0,36,4,14
porous carbon,graphene,koh,1.0,485.8,0.5,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,1,0,36,4,14
porous carbon,graphene,koh,1.0,411.7,0.45,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,1,0,36,4,14
porous carbon,graphene,koh,1.0,698.6,0.61,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,1,0,36,4,14
porous carbon,graphene,koh,1.0,507.5,0.53,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,1,0,36,4,14
